Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2020-404;2020;Long métrage;TOUT S'EST BIEN PASSE;Francois OZON;MANDARIN PRODUCTION;rue pascal, 75013 paris;75013;2020-08-20;2020-08-21;2.34831454;48.83566;"{""coordinates"": [2.348314535961912, 48.83566000015182], ""type"": ""Point""}";48.83566000015182, 2.348314535961912
2020-412;2020;Série Web;Ca ne va pas Supermarché;Pierre Briois et Théo Galampoix;CLCF (Conservatoire Libre du Cinéma Français);rue desprez, 75014 paris;75014;2020-08-23;2020-08-23;2.31552302;48.8347667;"{""coordinates"": [2.3155230203915282, 48.834766700812956], ""type"": ""Point""}";48.834766700812956, 2.3155230203915282
2020-417;2020;Long métrage;Une jeune fille qui va bien;Sandrine Kiberlain;CURIOSA FILMS;passage saint-paul, 75004 paris;75004;2020-08-31;2020-09-01;2.36169355;48.85453288;"{""coordinates"": [2.361693551812241, 48.854532879115084], ""type"": ""Point""}";48.854532879115084, 2.361693551812241
2020-434;2020;Téléfilm;BALTHAZAR 23 et 24;CAMILLE DELAMARRE ET FRANCK BRETT;BEAUBOURG STORIES;12 rue francis ponge, 75019 paris;75019;2020-09-04;2020-09-04;2.39465824;48.88213786;"{""coordinates"": [2.394658237731715, 48.882137854853696], ""type"": ""Point""}";48.882137854853696, 2.394658237731715
2019-1611;2019;Série TV;Alice NEVERS;julien ZIDI;EGO PRoductions;44 boulevard de la villette, 75019 paris;75019;2019-11-28;2019-11-28;2.37525331;48.8740954;"{""coordinates"": [2.37525330605596, 48.87409539688338], ""type"": ""Point""}";48.87409539688338, 2.37525330605596
2019-1631;2019;Long métrage;French Exit;Azazel Jacobs;Same Player;rue antoine vollon, 75012 paris;75012;2019-12-04;2019-12-04;2.37651854;48.85006698;"{""coordinates"": [2.376518535230019, 48.850066976220155], ""type"": ""Point""}";48.850066976220155, 2.376518535230019
2018-1312;2018;Long métrage;FIN DE MATINEE;Hiroshi NISHATANI;COMME DES CINEMAS;pont louis-philippe, 75004 paris;75004;2018-11-05;2018-11-05;2.35467939;48.85411246;"{""coordinates"": [2.354679386870978, 48.854112456125364], ""type"": ""Point""}";48.854112456125364, 2.354679386870978
2018-1324;2018;Long métrage;HORS NORMES;Eric Toledano et Olivier Nakache;ADNP QUAD FILMS;3 rue de castiglione, 75001 paris;75001;2018-11-05;2018-11-06;2.32744623;48.86574412;"{""coordinates"": [2.327446234271997, 48.86574411603937], ""type"": ""Point""}";48.86574411603937, 2.327446234271997
2019-275;2019;Long métrage;DOCTEUR ?;Tristan SEGUELA;Unité de Production;60 rue de romainville, 75019 paris;75019;2019-03-07;2019-03-12;2.40222019;48.8774605;"{""coordinates"": [2.402220186108582, 48.87746050395657], ""type"": ""Point""}";48.87746050395657, 2.402220186108582
2016-206;2016;Long métrage;JOUR J;REEM KHERICI;MANDARIN FILMS;70  RUE  DU RENDEZ VOUS;75012;2016-08-08;2016-08-08;2.40042;48.846921;"{""coordinates"": [2.400419999842282, 48.84692099973854], ""type"": ""Point""}";48.84692099973854, 2.400419999842282
